id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2BEcap3xJtmiPaHKyfQi4e,0.734,0.846,9.0,-3.425,0.0489,0.166,1.74e-06,0.235,0.604,98.026
7iqOIHHEmu6Vhw25GgQ2eA,0.662,0.788,3.0,-4.55,0.205,0.0191,0.0,0.0559,0.711,179.876
704LUEih663hiE3CnyUrFW,0.822,0.736,1.0,-3.969,0.15,0.157,0.000781,0.0748,0.679,175.93
6lX6l7OuA3qrnIRfdsr0dw,0.787,0.7,4.0,-4.598,0.0768,0.568,0.00051,0.663,0.791,90.02
6ZOcbKub95XSDESsKKuH41,0.869,0.694,1.0,-3.35,0.0783,0.356,0.00125,0.0878,0.511,90.02
5TMLavqGRKNxgzMBrVpC9R,0.748,0.761,2.0,-6.621,0.102,0.122,6.56e-06,0.0984,0.362,116.041
0lJE8f0lx8mUSfMyxeYpiC,0.523,0.691,1.0,-3.802,0.0833,0.133,0.0,0.327,0.677,94.148
0rsTDgGRlXKuzSAxcdb4Ns,0.787,0.748,8.0,-3.752,0.0797,0.571,0.0,0.214,0.703,93.006
4HzqWEdAbzcVFDv0pvxV4w,0.762,0.77,5.0,-2.758,0.223,0.138,0.0,0.15,0.631,177.998
5W1qmxHrMlQGGAiFA3ZQqP,0.562,0.755,7.0,-4.367,0.112,0.0967,2.25e-05,0.143,0.609,83.997
4gzsuuZypVbxs0Af1LSZyB,0.639,0.703,4.0,-6.33,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888
6O4z17Q6EK35AUOPRbj1mc,0.886,0.482,7.0,-9.882,0.175,0.396,0.0,0.115,0.568,124.956
3PwRuzdphgedcWVUOVYJ7I,0.765,0.625,9.0,-3.599,0.0548,0.584,0.00111,0.112,0.262,102.101
0Be7sopyKMv8Y8npsUkax2,0.748,0.856,11.0,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031
1wcE84DVQUF16xudVFzezL,0.86,0.516,6.0,-5.518,0.145,0.0616,0.0,0.0791,0.591,98.005
3fHEwAssCgM4wJYdjT5Ch0,0.625,0.754,6.0,-4.158,0.076,0.17,3.76e-05,0.109,0.746,89.888
2vmfvSoZBFAt9hhRoEByLi,0.725,0.86,1.0,-3.726,0.182,0.422,0.000284,0.0674,0.791,175.896
20ChN6ZWJ2yhuXcE6SKHDM,0.744,0.679,5.0,-3.51,0.0791,0.0654,0.00429,0.0966,0.866,176.024
6IPNp9PfaEqrzotY47TIWy,0.8,0.837,6.0,-2.807,0.0491,0.00406,0.00313,0.0904,0.702,100.015
51yjkR9blUWtAphR7lZl5y,0.754,0.847,8.0,-3.731,0.0926,0.127,0.0,0.174,0.546,104.973
6c32C8T3KlXrbvWSoD5aON,0.805,0.806,6.0,-3.589,0.0393,0.0828,0.0,0.156,0.682,110.042
2JPLbjOn0wPCngEot2STUS,0.644,0.648,1.0,-4.601,0.118,0.276,0.0,0.135,0.44,179.951
0lQk4UhEVDnOH5vYH0vgHM,0.787,0.624,5.0,-4.156,0.137,0.103,0.0,0.172,0.767,93.063
1kjs5eR4DMzyB0gm1Z8waV,0.857,0.766,0.0,-3.699,0.0978,0.108,0.0,0.0817,0.864,106.024
1ZcrHpBbILPNfhBtPhQVHh,0.711,0.839,7.0,-6.288,0.117,0.0472,0.0,0.0806,0.932,179.936
4bF2y8rR7GUjrd5LNEvej3,0.57,0.455,1.0,-5.748,0.0996,0.441,0.000746,0.0654,0.399,167.933
0x4Kmsd1YLB9emO8thJ62U,0.761,0.876,6.0,-5.705,0.0658,0.00967,0.00444,0.103,0.352,121.032
6P096SaOzrgGxs8NWOfX7M,0.669,0.628,2.0,-4.177,0.0526,0.294,1.83e-05,0.124,0.784,83.803
1ycIhjQ4fQp2WqNFpSDEcX,0.704,0.698,0.0,-4.679,0.306,0.238,0.0,0.109,0.61,177.867
2HFrlVZI1PHNwfNiIC8mkb,0.573,0.496,1.0,-5.44,0.0322,0.571,0.0,0.176,0.299,79.947
6DdC4I8ENm7zHH9Jy9pFg4,0.567,0.686,6.0,-5.096,0.119,0.147,0.0,0.118,0.427,92.416
7iXJg4IUyrWont5YSQrbKP,0.557,0.7,7.0,-5.024,0.0638,0.115,1.11e-06,0.161,0.681,93.9
03NqHNdG3Ur6kciQWK6e8V,0.744,0.862,0.0,-3.446,0.0622,0.0715,5.58e-06,0.0889,0.688,115.021
4knc1Fp3kbuq8bH2byOvLu,0.748,0.779,0.0,-6.659,0.0342,0.00884,3.96e-05,0.113,0.928,128.91
6KGGhJoXrztLp8ZT91zizs,0.73,0.692,7.0,-4.341,0.137,0.0622,0.0,0.271,0.713,172.068
7iHHlCbsFou5DZSW5HCPfs,0.747,0.812,3.0,-4.274,0.111,0.341,0.000131,0.174,0.884,180.062
1JpzJfxjHGFUyTHXLZidok,0.811,0.5,5.0,-6.717,0.0976,0.104,0.0,0.372,0.789,178.017
4vv8wcnT04GHHbUCFBAiHF,0.828,0.724,6.0,-3.555,0.0715,0.0424,1.68e-06,0.468,0.896,96.058
0bI7K9Becu2dtXK1Q3cZNB,0.77,0.787,11.0,-3.748,0.0583,0.198,0.0,0.262,0.513,119.986
6PDlkWmrq2ZKiUuFt2aQsH,0.77,0.899,8.0,-2.981,0.0494,0.222,1.14e-06,0.0894,0.851,128.05
5xiAfKzE3mbxYbOkUZPR11,0.826,0.74,1.0,-4.45,0.0368,0.142,2.59e-05,0.175,0.733,130.025
5BE9B2FiFWBbBdoIQ1m1UP,0.707,0.833,3.0,-2.498,0.0517,0.137,0.0,0.115,0.788,110.062
493Rk3iS7rs8uPfpnfm95u,0.754,0.841,11.0,-3.19,0.135,0.113,0.0,0.466,0.541,128.019
3NqBxTOMCJ3zW9CIP51td4,0.39,0.499,7.0,-7.778,0.0381,0.632,0.000497,0.115,0.34,200.156
6GPBXtnSepHovJi1uD1Ggj,0.79,0.766,6.0,-3.497,0.111,0.324,0.0,0.0832,0.825,82.026
4fSIb4hdOQ151TILNsSEaF,0.78,0.718,3.0,-3.605,0.0506,0.31,0.000163,0.0932,0.342,127.949
7ARoqP7G8UYW8SyYPyPp7k,0.703,0.806,7.0,-3.563,0.0594,0.06,0.00661,0.375,0.704,141.984
1AnJQd8TfkhK6M3VgZDVv1,0.798,0.813,0.0,-6.343,0.0794,0.187,0.00171,0.686,0.535,96.005
5902W4uHWzhtOff1UK7the,0.685,0.886,0.0,-4.179,0.034,0.028,0.0,0.481,0.615,125.034
46z6ENU51UUGeRam2fWrQW,0.82,0.731,2.0,-2.343,0.0443,0.0139,0.0,0.0805,0.602,120.013
7hmebsI3sCMzANWFcNiCMh,0.719,0.907,0.0,-1.9,0.071,0.0118,2.04e-06,0.0926,0.363,127.987
0gWFFtKm8PaAJdpkajFlD1,0.562,0.804,9.0,-3.773,0.0559,0.0723,0.0,0.0641,0.733,164.003
7GdIvzFCC3ZGS4sGsCuR9W,0.61,0.6,4.0,-9.729,0.0376,0.0094,0.0395,0.123,0.219,135.01
0GPZVVuQ291PJKvKWpp9cF,0.297,0.246,5.0,-12.82,0.0469,0.797,0.161,0.0999,0.0621,86.147
4bCFw61qA3pmWIzR6ULCMY,0.853,0.663,4.0,-3.659,0.0783,0.103,0.00274,0.0891,0.816,132.008
0EePy0Tts3VKrHaxIHbJir,0.775,0.401,0.0,-9.42,0.124,0.276,4.78e-06,0.399,0.316,96.972
4Pxi7M3fCCBDG0EfC17eHw,0.69,0.72,7.0,-5.601,0.285,0.479,0.0,0.599,0.722,135.979
2dhPuSbG7blYN5tc6VxzHq,0.856,0.359,9.0,-10.74,0.442,0.588,1.77e-05,0.11,0.541,132.928
1XYFQv9t9lD5iNHPC25L3m,0.792,0.866,11.0,-5.011,0.0707,0.00477,0.0,0.143,0.496,102.014
6yHR35fYbMEaDz2or8YsH1,0.754,0.828,7.0,-4.197,0.0879,0.068,1.42e-06,0.116,0.344,123.985
2wG7MgpfXMCzQcTPCt78Tb,0.43,0.811,3.0,-2.712,0.0621,0.0315,0.0,0.315,0.238,159.988
4fvcOHfqC8yEBQphZjFud6,0.564,0.868,5.0,-4.877,0.221,0.142,0.0,0.389,0.648,109.754
